,기업명, ESG 종합등급,지배구조,사회,환경,평가연도
0,KPX그린케미칼,B이하,D,B이하,B+,2017
1,KPX케미칼,B이하,C,B이하,B이하,2017
2,KPX홀딩스,B이하,B,B이하,B이하,2017
3,KR모터스,B이하,B,B이하,B이하,2017
4,KSS해운,B+,B+,B이하,B+,2017
5,KTB투자증권,B이하,B+,B이하,B이하,2017
6,KTcs,B이하,B+,B+,B이하,2017
7,LF,B이하,B+,B이하,B이하,2017
8,LG,B+,B+,B+,B이하,2017
9,LG디스플레이,A,B+,A,A,2017
10,LG상사,B+,B,A,B+,2017
11,LG생활건강,A,B+,A+,A,2017
12,LG유플러스,B+,B+,B+,A,2017
13,LG이노텍,A,B+,A+,A,2017
14,LG전자,B+,B,A,A,2017
15,LG하우시스,A,B+,A+,A,2017
16,LG화학,A,B+,A+,A,2017
17,LIG넥스원,B+,B+,B+,B+,2017
18,LS,B이하,B,B이하,B이하,2017
19,LS네트웍스,B이하,B,B이하,B이하,2017
20,LS산전,B+,B,A,A,2017
21,LS전선아시아,B이하,B,B이하,B이하,2017
22,MH에탄올,B이하,C,B이하,B이하,2017
23,NAVER,B+,B+,A,B+,2017
24,NHN엔터테인먼트,B이하,B+,B이하,B이하,2017
25,NH투자증권,B+,A,B이하,B이하,2017
26,NICE,B이하,B+,B이하,B이하,2017
27,NI스틸,B이하,B,B이하,B이하,2017
28,OCI,A,B+,A+,A,2017
29,S&TC,B이하,B,B이하,B이하,2017
30,S&T모티브,B+,B+,B이하,B+,2017
31,S&T중공업,B+,B,B+,B+,2017
32,S&T홀딩스,B이하,B,B이하,B이하,2017
33,S-Oil,A+,A+,A+,A,2017
34,SBS,B이하,B,B이하,B이하,2017
35,SBS미디어홀딩스,B이하,B,B이하,B이하,2017
36,SG세계물산,B이하,C,B이하,B이하,2017
37,SG충방,B이하,C,B이하,B이하,2017
38,SH에너지화학,B이하,B,B이하,B이하,2017
39,SIMPAC,B이하,C,B이하,B이하,2017
40,SK,A+,A+,A+,A,2017
41,SKC,B+,B+,B+,A,2017
42,SK가스,B이하,B+,B+,B이하,2017
43,SK네트웍스,B+,B+,B+,B이하,2017
44,SK디스커버리,B+,B+,A,B이하,2017
45,SK디앤디,B이하,B,B이하,B이하,2017
46,SK이노베이션,B+,A,A,B이하,2017
47,SK증권,B+,A,B+,B이하,2017
48,SK텔레콤,A,A,B+,A,2017
49,SK하이닉스,A,A,A,A,2017
50,SPC삼립,B이하,C,B이하,B이하,2017
51,STX,B이하,B,B+,B이하,2017
52,STX엔진,B이하,B,B이하,B+,2017
53,TCC동양,B이하,C,B이하,B+,2017
54,WISCOM,B이하,B,B이하,B이하,2017
55,YG PLUS,B이하,B,B이하,B이하,2017
56,가온전선,B이하,B,B이하,B+,2017
57,강남제비스코,B이하,B,B이하,B이하,2017
58,강원랜드,B+,B,A,A,2017
59,갤럭시아에스엠,B이하,C,B이하,B이하,2017
60,경농,B이하,C,B이하,B이하,2017
61,경동나비엔,B이하,D,B+,B+,2017
62,경동인베스트,B이하,C,B이하,B이하,2017
63,경방,B이하,B,B이하,B이하,2017
64,경보제약,B이하,B,B이하,B이하,2017
65,경인양행,B이하,B,B이하,B이하,2017
66,경인전자,B이하,B,B이하,B이하,2017
67,계룡건설산업,B이하,C,B이하,B이하,2017
68,계양전기,B이하,B,B이하,B이하,2017
69,고려개발,B이하,C,B+,B이하,2017
70,고려산업,B이하,B,B이하,B이하,2017
71,고려아연,B이하,B,B+,B이하,2017
72,고려제강,B이하,C,B이하,B+,2017
73,골든브릿지증권,B이하,B,B이하,B이하,2017
74,광동제약,B이하,B,B+,B이하,2017
75,광명전기,B이하,C,B이하,B이하,2017
76,광전자,B이하,B,B이하,B이하,2017
77,광주신세계,B이하,B,B이하,B이하,2017
78,광주은행,B이하,A,B이하,B이하,2017
79,교보증권,B+,A,B+,B이하,2017
80,국도화학,B이하,D,B이하,B+,2017
81,국동,B이하,B,B이하,B이하,2017
82,국보,B이하,C,B이하,B이하,2017
83,국제약품,B이하,B+,B이하,B이하,2017
84,극동유화,B이하,B,B이하,B이하,2017
85,금강공업,B이하,C,B이하,B이하,2017
86,금비,B이하,C,B이하,B이하,2017
87,금양,B이하,B,B이하,B이하,2017
88,금호산업,B이하,B,B+,B이하,2017
89,금호석유화학,B+,B,B+,B+,2017
90,금호에이치티,B이하,C,B이하,B이하,2017
91,금호전기,B이하,C,B이하,B이하,2017
92,금호타이어,B이하,C,B+,B+,2017
93,기신정기,B이하,B,B이하,B이하,2017
94,기아자동차,B이하,C,B+,B+,2017
95,기업은행,B+,A,B이하,B이하,2017
96,까뮤이앤씨,B이하,B,B이하,B이하,2017
97,깨끗한나라,B이하,B,B이하,B+,2017
98,나노메딕스,B이하,D,B이하,B이하,2017
99,남광토건,B이하,B,B이하,B이하,2017
100,남선알미늄,B이하,B,B+,B이하,2017
101,남성,B이하,B,B이하,B이하,2017
102,남양유업,B이하,B,B+,B이하,2017
103,남영비비안,B이하,C,B이하,B이하,2017
104,남해화학,B이하,B,B이하,B+,2017
105,넥센,B이하,B,B이하,B+,2017
106,넥센타이어,B이하,B,B이하,B+,2017
107,노루페인트,B이하,B,B이하,B이하,2017
108,노루홀딩스,B이하,D,B이하,B이하,2017
109,녹십자,B이하,B,B이하,B+,2017
110,녹십자홀딩스,B이하,B,B이하,B이하,2017
111,농심,B이하,B,B이하,B+,2017
112,농심홀딩스,B이하,B,B이하,B이하,2017
113,다우기술,B이하,B,B+,B이하,2017
114,다우인큐브,B이하,B,B이하,B이하,2017
115,대경기계기술,B이하,B,B이하,B이하,2017
116,대교,B+,A,B이하,B이하,2017
117,대구백화점,B이하,B+,B이하,B이하,2017
118,대덕GDS,B이하,B,B이하,B+,2017
119,대덕전자,B이하,B,B이하,B+,2017
120,대동공업,B이하,B,B+,B이하,2017
121,대동전자,B이하,B,B이하,B이하,2017
122,대림비앤코,B이하,C,B이하,B이하,2017
123,대림산업,B이하,B+,B이하,B+,2017
124,대림씨엔에스,B이하,B+,B이하,B이하,2017
125,대림통상,B이하,C,B이하,B이하,2017
126,대상,B이하,B,B+,B이하,2017
127,대상홀딩스,B이하,C,B이하,B이하,2017
128,대성산업,B이하,B,B이하,B이하,2017
129,대성에너지,B이하,B,B이하,B이하,2017
130,대성합동지주,B이하,B,B이하,B이하,2017
131,대성홀딩스,B이하,B,B이하,B이하,2017
132,대신증권,B이하,A,B이하,B이하,2017
133,대양금속,B이하,C,B이하,B+,2017
134,대영포장,B이하,C,B이하,B이하,2017
135,대우건설,A,B+,A,A,2017
136,대우부품,B이하,C,B이하,B이하,2017
137,대우조선해양,B이하,C,B이하,B+,2017
138,대웅,B이하,B,B이하,B이하,2017
139,대웅제약,B이하,C,B+,B이하,2017
140,대원강업,B이하,B,B이하,B+,2017
141,대원전선,B이하,C,B이하,B이하,2017
142,대원제약,B이하,B+,B+,B이하,2017
143,대원화성,B이하,B,B이하,B+,2017
