,기업명, ESG 종합등급,지배구조,사회,환경,평가연도
144,대유에이텍,B이하,C,B이하,B이하,2017
145,대유플러스,B이하,B,B이하,B+,2017
146,대창,B이하,B,B이하,B+,2017
147,대창단조,B이하,C,B이하,B+,2017
148,대한방직,B이하,C,B이하,B이하,2017
149,대한유화,B이하,B,B이하,B이하,2017
150,대한전선,B이하,B,B이하,B+,2017
151,대한제강,B이하,B,B이하,B+,2017
152,대한제당,B이하,C,B이하,B이하,2017
153,대한제분,B이하,C,B이하,B이하,2017
154,대한항공,B+,B+,B+,A,2017
155,대한해운,B이하,C,B이하,B이하,2017
156,대한화섬,B이하,B,B이하,B이하,2017
157,대현,B이하,B,B이하,B이하,2017
158,대호에이엘,B이하,B,B이하,B+,2017
159,더존비즈온,B이하,B,B+,B이하,2017
160,덕성,B이하,B,B이하,B이하,2017
161,덕양산업,B이하,B,B이하,B이하,2017
162,도레이케미칼,B이하,C,B+,B+,2017
163,도화엔지니어링,B이하,B+,B이하,B이하,2017
164,동국실업,B이하,C,B이하,B이하,2017
165,동국제강,B이하,C,B+,B+,2017
166,동남합성,B이하,C,B이하,B이하,2017
167,동방,B이하,B,B이하,B이하,2017
168,동방아그로,B이하,B,B이하,B이하,2017
169,동부제철,B+,B,B이하,A,2017
170,동서,B이하,B,B이하,B이하,2017
171,동성제약,B이하,B,B이하,B이하,2017
172,동성코퍼레이션,B이하,B,B이하,B이하,2017
173,동성화학,B이하,B,B+,B이하,2017
174,동아쏘시오홀딩스,B이하,C,B이하,B이하,2017
175,동아에스텍,B이하,B+,B이하,B이하,2017
176,동아에스티,B이하,B,B이하,B이하,2017
177,동아지질,B이하,B,B이하,B이하,2017
178,동양,B이하,B,B이하,B이하,2017
179,동양고속,B이하,C,B이하,B이하,2017
180,동양네트웍스,B이하,B,B이하,B이하,2017
181,동양물산기업,B이하,B,B이하,B+,2017
182,동양생명,B이하,B+,B이하,B이하,2017
183,동양철관,B이하,C,B이하,B이하,2017
184,동원,B이하,C,B이하,B이하,2017
185,동원F&B,B이하,C,A,B+,2017
186,동원금속,B이하,B+,B이하,B이하,2017
187,동원산업,B+,B,A,B이하,2017
188,동원수산,B이하,B,B이하,B이하,2017
189,동원시스템즈,B이하,C,A,B+,2017
190,동일고무벨트,B이하,C,B이하,B이하,2017
191,동일방직,B이하,B,B이하,B이하,2017
192,동일산업,B이하,B,B이하,B+,2017
193,동일제강,B이하,B,B이하,B이하,2017
194,동화약품,B이하,B,B+,B이하,2017
195,두산,A,A,A+,A,2017
196,두산건설,A,B+,A+,A,2017
197,두산밥캣,B이하,A,B이하,B이하,2017
198,두산엔진,A,B+,A+,A,2017
199,두산인프라코어,A,B+,A+,A+,2017
200,두산중공업,A,B+,A,A,2017
201,두올,B이하,B,B이하,B이하,2017
202,디씨엠,B이하,B,B이하,B이하,2017
203,디아이,B이하,B,B이하,B이하,2017
204,디아이씨,B이하,C,B이하,B이하,2017
205,디와이,B이하,B,B이하,B이하,2017
206,디와이파워,B이하,B,B이하,B이하,2017
207,디티알오토모티브,B이하,B,B이하,B+,2017
208,디피씨,B이하,B,B이하,B이하,2017
209,락앤락,B이하,B+,B이하,B이하,2017
210,롯데관광개발,B이하,C,B이하,B이하,2017
211,롯데손해보험,A,A,A,B이하,2017
212,롯데쇼핑,B+,B,A+,A,2017
213,롯데정밀화학,A,A,A+,A,2017
214,롯데지주,B+,B,A+,A,2017
215,롯데칠성음료,B+,B,B+,A,2017
216,롯데케미칼,A,B+,A+,A,2017
217,롯데푸드,B이하,C,A+,A,2017
218,롯데하이마트,B+,A,A+,B이하,2017
219,마니커,B이하,C,B이하,B이하,2017
220,만도,B이하,B,B이하,B+,2017
221,만호제강,B이하,B,B이하,B이하,2017
222,메디플란트,B이하,D,B이하,B이하,2017
223,메리츠금융지주,B+,A,B이하,B이하,2017
224,메리츠종금증권,B+,A,B+,B이하,2017
225,메리츠화재,B+,A,B이하,B이하,2017
226,명문제약,B이하,B,B이하,B이하,2017
227,모나리자,B이하,C,B이하,B이하,2017
228,모나미,B이하,B,B이하,B이하,2017
229,모토닉,B이하,B,B이하,B이하,2017
230,무림P&P,B이하,D,B이하,B이하,2017
231,무림페이퍼,B이하,B,B이하,B+,2017
232,무학,B이하,B,B이하,B이하,2017
233,문배철강,B이하,B,B이하,B이하,2017
234,미래산업,B이하,B+,B이하,B이하,2017
235,미래아이앤지,B이하,C,B이하,B이하,2017
236,미래에셋대우,B+,A,B이하,B이하,2017
237,미래에셋생명,B+,A,B+,B이하,2017
238,미원상사,B이하,B,B이하,B이하,2017
239,미원홀딩스,B이하,B,B이하,B이하,2017
240,미원화학,B이하,C,B이하,B이하,2017
241,미창석유공업,B이하,B+,B이하,B이하,2017
242,방림,B이하,B,B이하,B+,2017
243,백광산업,B이하,B,B이하,B+,2017
244,백광소재,B이하,C,B이하,B이하,2017
245,백산,B이하,B,B이하,B이하,2017
246,범양건영,B이하,B,B이하,B이하,2017
247,벽산,B이하,C,B이하,B+,2017
248,보락,B이하,B,B이하,B이하,2017
249,보령제약,B이하,B+,B이하,B이하,2017
250,보루네오가구,B이하,C,B이하,B이하,2017
251,보해양조,B이하,C,B이하,B이하,2017
252,부광약품,B이하,B,B이하,B이하,2017
253,부국증권,B이하,B+,B이하,B이하,2017
254,부국철강,B이하,B,B이하,B이하,2017
255,부산도시가스,B이하,B,B이하,B이하,2017
256,부산산업,B이하,B,B이하,B이하,2017
257,부산주공,B이하,B,B이하,B+,2017
258,비상교육,B이하,B,B+,B이하,2017
259,빙그레,B이하,B,B+,B이하,2017
260,사조대림,B이하,B,B이하,B이하,2017
261,사조동아원,B이하,B,B이하,B이하,2017
262,사조산업,B이하,C,B이하,B이하,2017
263,사조씨푸드,B이하,B+,B이하,B이하,2017
264,사조오양,B이하,B,B이하,B이하,2017
265,사조해표,B이하,B,B이하,B이하,2017
266,삼광글라스,B이하,D,B이하,B이하,2017
267,삼성SDI,B+,B,A+,A,2017
268,삼성공조,B이하,B,B이하,B이하,2017
269,삼성물산,A,A,A+,A,2017
270,삼성바이오로직스,B+,B+,B+,B+,2017
271,삼성생명,A,A,A,A,2017
272,삼성에스디에스,B+,B+,B+,B+,2017
273,삼성엔지니어링,A,B+,A+,A,2017
274,삼성전기,A+,A,A+,A+,2017
275,삼성전자,B+,B,A,A,2017
276,삼성제약,B이하,C,B이하,B이하,2017
277,삼성중공업,B+,B+,B이하,B+,2017
278,삼성증권,B+,A,B+,B이하,2017
279,삼성출판사,B이하,B,B이하,B이하,2017
280,삼성카드,B+,A,B이하,B이하,2017
281,삼성화재해상보험,A,A,A+,A,2017
282,삼아알미늄,B이하,B,B이하,B+,2017
283,삼양사,B이하,B,B+,B이하,2017
284,삼양식품,B이하,B,B+,B이하,2017
285,삼양통상,B이하,B,B이하,B이하,2017
286,삼양홀딩스,B이하,B,B이하,B이하,2017
287,삼영무역,B이하,B,B이하,B이하,2017
288,삼영전자공업,B이하,B,B이하,B+,2017
289,삼영화학공업,B이하,C,B이하,B+,2017
290,삼원강재,B이하,B,B이하,B+,2017
291,삼익THK,B이하,B,B이하,B이하,2017
292,삼익악기,B이하,B,B이하,B이하,2017
293,삼일제약,B이하,B,B이하,B이하,2017
294,삼정펄프,B이하,B,B이하,B이하,2017
295,삼진제약,B이하,B,B이하,B이하,2017
296,삼천리,B+,B,B+,B+,2017
297,삼호,B이하,B,B이하,B이하,2017
298,삼호개발,B이하,B,B이하,B이하,2017
299,삼화왕관,B이하,B,B이하,B이하,2017
300,삼화전기,B이하,B,B이하,B이하,2017
301,삼화전자공업,B이하,C,B이하,B이하,2017
302,삼화콘덴서공업,B이하,C,B이하,B이하,2017
303,삼화페인트공업,B+,B+,B+,B+,2017
304,상신브레이크,B이하,B,B이하,B이하,2017
305,새론오토모티브,B이하,C,B이하,B+,2017
306,샘표,B이하,C,B이하,B이하,2017
307,샘표식품,B이하,C,B이하,B이하,2017
308,서연,B이하,D,B이하,B이하,2017
309,서연이화,B+,B+,B+,B이하,2017
310,서울도시가스,B이하,B+,B이하,B이하,2017
311,서울식품공업,B이하,B,B이하,B이하,2017
312,서원,B이하,B,B이하,B+,2017
313,서흥,B이하,B,B이하,B이하,2017
314,선도전기,B이하,B,B이하,B이하,2017
315,선진,B이하,B+,B이하,B이하,2017
316,선창산업,B이하,B,B이하,B이하,2017
317,성문전자,B이하,B,B이하,B이하,2017
318,성보화학,B이하,C,B이하,B이하,2017
319,성신양회,B이하,C,B이하,B+,2017
320,성안,B이하,C,B이하,B이하,2017
321,성지건설,B이하,C,B이하,B이하,2017
322,성창기업지주,B이하,C,B이하,B이하,2017
323,세기상사,B이하,B,B이하,B이하,2017
324,세방,B이하,B,B이하,B이하,2017
325,세방전지,B이하,C,B이하,B+,2017
326,세아베스틸,B이하,C,B이하,B+,2017
327,세아제강,B이하,B,B이하,B+,2017
328,세아특수강,B이하,B,B이하,B+,2017
329,세아홀딩스,B이하,C,B이하,B이하,2017
330,세우글로벌,B이하,B,B이하,B이하,2017
331,세원셀론텍,B이하,B,B이하,B이하,2017
332,세원정공,B이하,C,B이하,B이하,2017
333,세이브존I&C,B이하,B,B이하,B이하,2017
334,세종공업,B이하,C,B이하,B+,2017
335,세진중공업,B이하,B+,B+,B이하,2017
336,세하,B이하,B,B이하,B+,2017
337,세화아이엠씨,B이하,B+,B이하,B이하,2017
338,송원산업,B+,B,B+,B+,2017
339,수산중공업,B이하,B,B이하,B이하,2017
340,신대양제지,B이하,C,B이하,B이하,2017
341,신도리코,B+,B+,B이하,B+,2017
342,신라교역,B이하,C,B이하,B이하,2017
343,신성이엔지,B이하,B,B이하,B이하,2017
344,신성통상,B이하,B,B이하,B이하,2017
345,신세계,B+,B,A+,B+,2017
346,신세계I&C,B+,B,A,B이하,2017
347,신세계건설,B이하,B+,B이하,B이하,2017
348,신세계인터내셔날,B+,B,A,B이하,2017
349,신세계푸드,B+,B,A,B+,2017
350,신송홀딩스,B이하,B,B이하,B이하,2017
351,신영와코루,B이하,C,B이하,B이하,2017
352,신영증권,B+,A,B이하,B이하,2017
353,신원,B이하,B,B이하,B이하,2017
354,신일산업,B이하,C,B이하,B이하,2017
355,신풍제약,B이하,B,B이하,B이하,2017
356,신풍제지,B이하,B,B이하,B+,2017
357,신한,B이하,C,B이하,B이하,2017
358,신한지주,A+,S,A,A+,2017
359,AJ네트웍스,B이하,B,B이하,B이하,2017
360,AJ렌터카,B이하,C,B이하,B이하,2017
361,AK홀딩스,B이하,B,B이하,B이하,2017
362,BGF,B이하,B,A,B이하,2017
363,BNK금융지주,B+,B,A,B+,2017
364,BYC,B이하,B,B이하,B이하,2017
365,CJ,A,A,A,B이하,2017
366,CJ CGV,B이하,B+,B+,B이하,2017
367,CJ대한통운,B+,B+,B+,A,2017
368,CJ씨푸드,B이하,B,B이하,B이하,2017
369,CJ제일제당,A,B+,A,A,2017
370,CJ헬로,B이하,B+,B+,B이하,2017
371,CS홀딩스,B이하,B,B이하,B이하,2017
372,DB,B이하,B,B이하,B이하,2017
373,DB금융투자,B+,A,B이하,B이하,2017
374,DB손해보험,A,A,A,B+,2017
375,DB하이텍,B이하,C,B+,B+,2017
376,DGB금융지주,A,A,A,A,2017
377,DRB동일,B이하,B,B이하,B이하,2017
378,DSR,B이하,C,B이하,B이하,2017
379,DSR제강,B이하,B,B이하,B이하,2017
380,E1,B이하,B+,B+,B이하,2017
381,F&F,B이하,B,B이하,B이하,2017
382,GKL,B이하,B+,B이하,B이하,2017
383,GS,B이하,B+,B이하,B이하,2017
384,GS건설,A,B+,A,A,2017
385,GS글로벌,B이하,B+,B이하,B이하,2017
386,GS리테일,B+,B+,B+,B이하,2017
387,JB금융지주,B이하,A,B이하,B이하,2017
388,JW생명과학,B이하,B,B이하,B+,2017
389,JW중외제약,B이하,B,B+,B이하,2017
390,JW홀딩스,B이하,B+,B이하,B이하,2017
391,KB금융,A,A,A,A,2017
392,KC그린홀딩스,B이하,B,B이하,B이하,2017
393,KC코트렐,B이하,B,B이하,B이하,2017
394,KEC,B이하,B,B이하,B+,2017
395,KGP,B이하,D,B이하,B이하,2017
396,KG케미칼,B이하,D,B이하,B이하,2017
397,KISCO홀딩스,B이하,B,B이하,B이하,2017
398,한일시멘트,B이하,B,B이하,B+,2017
399,한일철강,B이하,C,B이하,B이하,2017
400,한전KPS,B+,B,B+,B+,2017
401,한전기술,B+,B,B+,A,2017
402,한전산업,B이하,B,B+,B이하,2017
403,한진,B이하,B,B이하,B이하,2017
404,한진중공업,B이하,C,B이하,B+,2017
405,한진중공업홀딩스,B이하,B+,B이하,B이하,2017
406,한진칼,B이하,C,B이하,B이하,2017
407,한창,B이하,C,B이하,B이하,2017
408,한창제지,B이하,C,B이하,B이하,2017
409,한화,A,A,A+,A,2017
410,한화갤러리아타임월드,B이하,B,B이하,B+,2017
411,한화생명,B+,B+,A,B이하,2017
412,한화손해보험,B+,A,B이하,B이하,2017
413,한화케미칼,B이하,C,B이하,B+,2017
414,한화테크윈,B+,B+,B+,A,2017
415,한화투자증권,B+,A,B+,B이하,2017
416,해성디에스,A,B+,A,A,2017
417,해태제과식품,B이하,B,B이하,B이하,2017
418,핸즈코퍼레이션,B이하,B+,B이하,B+,2017
419,현대EP,B이하,B,B이하,B+,2017
420,현대건설,B이하,D,B+,B+,2017
421,현대그린푸드,B+,B+,B이하,B+,2017
422,현대글로비스,B+,B+,B+,B+,2017
423,현대로템,B+,B+,B+,B+,2017
424,현대리바트,B+,B+,B+,B이하,2017
425,현대모비스,B이하,C,A,A,2017
426,현대미포조선,B+,B+,B이하,A,2017
427,현대백화점,B+,B+,B+,B이하,2017
428,현대비앤지스틸,B이하,C,B+,B+,2017
429,현대산업개발,B+,B+,B+,B이하,2017
430,현대상선,B+,B+,B+,B이하,2017
431,현대시멘트,B이하,C,B이하,B+,2017
432,현대약품,B+,B+,B+,B이하,2017
433,현대에이치씨엔,B+,B+,B+,B이하,2017
434,현대엘리베이터,A,B+,A,A,2017
435,현대위아,B이하,B,B이하,B+,2017
436,현대자동차,B+,B,B+,B+,2017
437,현대제철,B이하,B,B이하,B+,2017
438,현대종합상사,B이하,B,B이하,B이하,2017
439,현대중공업,B+,B+,B이하,A,2017
440,현대차투자증권,B이하,A,B이하,B이하,2017
441,현대코퍼레이션홀딩스,B이하,B,B이하,B이하,2017
442,현대해상,A,A,A,B+,2017
443,현대홈쇼핑,B+,A,B이하,B이하,2017
444,형지엘리트,B이하,C,B이하,B이하,2017
445,혜인,B이하,B,B이하,B이하,2017
446,호텔신라,B+,B+,B+,B이하,2017
447,화성산업,B이하,B+,B이하,B이하,2017
448,화승알앤에이,B+,B+,B+,B+,2017
449,화승엔터프라이즈,B이하,B,B이하,B이하,2017
450,화승인더스트리,B이하,B,B이하,B+,2017
451,화신,B이하,D,B이하,B이하,2017
452,화인베스틸,B이하,B,B이하,B+,2017
453,화천기계,B이하,B,B이하,B이하,2017
454,화천기공,B이하,B,B이하,B이하,2017
455,환인제약,B이하,B+,B이하,B이하,2017
456,황금에스티,B이하,B,B이하,B이하,2017
457,효성,B이하,D,A,B+,2017
458,효성 ITX,B이하,B+,B이하,B이하,2017
459,후성,B이하,C,B이하,B+,2017
460,휠라코리아,B이하,B,B이하,B이하,2017
461,휴니드테크놀러지스,B이하,B,B이하,B이하,2017
462,휴비스,B+,B,A,B+,2017
463,휴스틸,B이하,B,B이하,B이하,2017
464,휴켐스,B+,B,B+,B+,2017
465,흥국화재,B+,A,B이하,B이하,2017
466,흥아해운,B이하,B,B이하,B이하,2017
467,신화실업,B이하,B,B이하,B이하,2017
468,신흥,B이하,B+,B이하,B이하,2017
469,쌍방울,B이하,C,B이하,B이하,2017
470,쌍용양회공업,B+,B+,B이하,A,2017
471,쌍용자동차,B+,B+,B이하,B+,2017
472,써니전자,B이하,B,B+,B이하,2017
473,씨아이테크,B이하,D,B이하,B이하,2017
474,씨에스윈드,B+,B+,B이하,B이하,2017
475,아남전자,B이하,B,B이하,B이하,2017
476,아모레퍼시픽,A,B+,A,A,2017
477,아모레퍼시픽그룹,B이하,B,A,B이하,2017
478,아비스타,B이하,B,B이하,B이하,2017
479,아세아,B이하,B,B이하,B이하,2017
480,아세아시멘트,B이하,C,B이하,B+,2017
481,아세아제지,B이하,B,B이하,B이하,2017
482,아시아나항공,B+,B,A,B+,2017
483,아이마켓코리아,B이하,B+,B이하,B이하,2017
484,아이에스동서,B이하,B,B이하,B이하,2017
485,아이에이치큐,B이하,B,B이하,B이하,2017
486,아이콘트롤스,B이하,B+,B이하,B이하,2017
487,아주캐피탈,B+,A,B이하,B이하,2017
488,아티스,B이하,B,B이하,B이하,2017
489,알루코,B이하,B,B이하,B이하,2017
490,알보젠코리아,B이하,B,B이하,B이하,2017
491,애경유화,B이하,B,B이하,B+,2017
492,에넥스,B이하,C,B+,B이하,2017
493,에스엘,B이하,C,B+,B이하,2017
494,에스원,B이하,C,B이하,B이하,2017
495,에스제이엠,B이하,B,B이하,B이하,2017
496,에스제이엠홀딩스,B이하,B+,B이하,B이하,2017
497,에쓰씨엔지니어링,B이하,B,B이하,B이하,2017
498,에이블씨엔씨,B이하,B+,B이하,B이하,2017
499,에이엔피,B이하,C,B이하,B이하,2017
500,에이프로젠KIC,B이하,C,B이하,B이하,2017
501,에이프로젠제약,B이하,C,B이하,B이하,2017
502,엔씨소프트,B이하,B,B이하,B이하,2017
503,엔에스쇼핑,B이하,B+,B이하,B이하,2017
504,엔케이,B이하,C,B이하,B이하,2017
505,엔케이물산,B이하,C,B이하,B이하,2017
506,엔피씨,B이하,B,B이하,B이하,2017
507,영보화학,B이하,C,B이하,B이하,2017
508,영원무역,B이하,B,B이하,B이하,2017
509,영원무역홀딩스,B이하,B,B이하,B이하,2017
510,영진약품,B이하,C,B+,B이하,2017
511,영풍,B이하,C,B이하,B+,2017
512,영풍제지,B이하,C,B이하,B이하,2017
513,영화금속,B이하,B,B이하,B이하,2017
514,영흥철강,B+,B+,B+,B+,2017
515,예스코,B+,A,B+,B이하,2017
516,오뚜기,B이하,D,B+,B이하,2017
517,오리엔트바이오,B이하,C,B이하,B이하,2017
518,오리온홀딩스,B이하,C,B이하,B이하,2017
519,와이비로드,B이하,B,B이하,B이하,2017
520,용평리조트,B이하,B,B이하,B이하,2017
521,우리들제약,B이하,D,B이하,B이하,2017
522,우리들휴브레인,B이하,C,B이하,B이하,2017
523,우리은행,B+,A,B이하,B이하,2017
524,우리종금,B이하,B+,B이하,B이하,2017
525,우성사료,B이하,B,B이하,B이하,2017
526,우신시스템,B이하,C,B이하,B이하,2017
527,우진,B이하,B,B이하,B이하,2017
528,우진플라임,B이하,B,B이하,B이하,2017
529,웅진,B이하,B,B이하,B이하,2017
530,웅진씽크빅,B이하,C,B이하,B이하,2017
531,웅진에너지,B+,B,B이하,A,2017
532,원림,B이하,B,B이하,B이하,2017
533,윌비스,B이하,B+,B이하,B이하,2017
534,유나이티드,B이하,B,B이하,B이하,2017
535,유니드,B이하,B,B이하,B이하,2017
536,유니온,B이하,B,B이하,B이하,2017
537,유니온머티리얼,B이하,B,B이하,B+,2017
538,유니켐,B+,B+,B이하,B이하,2017
539,유니퀘스트,B이하,B+,B이하,B이하,2017
540,유성기업,B이하,B,B이하,B+,2017
541,유수홀딩스,B+,B+,B+,B이하,2017
542,유안타증권,B+,A,B이하,B이하,2017
543,유양디앤유,B이하,B,B이하,B이하,2017
544,유엔젤,B이하,B,B이하,B이하,2017
545,유유제약,B이하,B,B이하,B이하,2017
546,유진증권,B+,A,B이하,B이하,2017
547,유한양행,B이하,B,B이하,B+,2017
548,유화증권,B이하,B+,B이하,B이하,2017
549,율촌화학,B이하,B,B이하,B이하,2017
550,이건산업,B이하,B,B이하,B이하,2017
551,이구산업,B이하,B,B이하,B+,2017
552,이노션,B이하,B,B이하,B이하,2017
553,이마트,B+,B+,A,B+,2017
554,이수페타시스,B이하,C,B+,B+,2017
555,이수화학,B+,B,B+,B+,2017
556,이스타코,B이하,D,B이하,B이하,2017
557,이아이디,B이하,C,B이하,B이하,2017
558,이연제약,B이하,B+,B이하,B이하,2017
559,이월드,B이하,C,B이하,B이하,2017
560,이화산업,B이하,C,B이하,B이하,2017
561,인디에프,B이하,B,B이하,B이하,2017
562,인스코비,B이하,C,B이하,B이하,2017
563,인지컨트롤스,B이하,C,B이하,B이하,2017
564,인천도시가스,B이하,B,B이하,B이하,2017
565,인터지스,B이하,B+,B이하,B이하,2017
566,인팩,B이하,B,B이하,B이하,2017
567,일동제약,B이하,B,B이하,B이하,2017
568,일동홀딩스,B이하,B,B이하,B이하,2017
569,일성건설,B이하,B,B이하,B이하,2017
570,일성신약,B이하,B,B이하,B이하,2017
571,일신방직,B이하,B+,B이하,B이하,2017
572,일신석재,B이하,B,B이하,B이하,2017
