,company,ESG_2021,E_2021,S_2021,G_2021,ESG_2020,E_2020,S_2020,G_2020,ESG_2019,E_2019,S_2019,G_2019
482,웅진씽크빅,B+,B,A,B+,B,D,B,B,B,D,B,B+
483,원림,C,D,B,B,C,D,B,C,C,D,C,B
484,웰바이오텍,B,D,B,B,B,D,B,B,C,D,C,C
485,윌비스,C,D,D,B+,C,D,C,C,C,D,C,C
486,유나이티드,B,C,B,B+,B,B,B+,B,B+,B,A,B
487,유니드,B+,B,B+,B+,B,B,B,B,B,B,C,B
488,유니온,B,B,B,B,C,C,B,C,C,C,B+,C
489,유니온머티리얼,B,B,C,B,B,B,B,B,C,C,B,B
490,유니켐,B,C,C,B+,B,B,C,B,B,B,C,B+
491,유니퀘스트,B,B,C,B+,B,D,C,B+,B,D,C,B+
492,유성기업,C,B,D,C,C,B,C,C,C,B,B,C
493,유수홀딩스,B+,D,B,A,B,C,B,B+,B,D,B+,B+
494,유안타증권,C,D,C,B,B,D,B+,B,B,D,B,B
495,유엔젤,C,D,C,B,C,B,C,C,C,B,C,C
496,유유제약,B,D,B,B+,B,B,C,B,B,B,C,B+
497,유진증권,C,C,C,B,B,C,B+,B,C,D,C,B
498,유한양행,B+,B+,A,B+,B+,B+,B+,B+,B+,B+,B+,B+
499,유화증권,C,D,C,C,C,D,C,B,D,D,C,D
500,율촌화학,B,B,B,B+,B,C,B+,B+,B,C,B+,B+
501,이건산업,C,D,C,B+,B,C,B,B,C,C,C,C
502,이구산업,B,B,C,B+,B,B,C,B,B,B,C,B
503,이노션,A,B+,A,A,B+,D,A,A,B+,C,B+,B+
504,이마트,A,A,A,A,A,A,A+,A,B+,B+,A,B+
505,이수페타시스,B,B,A,C,B,B+,B+,C,B,B+,B+,C
506,이수화학,B,B,B+,B,C,B,B,C,C,B,B,C
507,이스타코,C,D,C,B,C,D,C,B,C,D,C,C
508,이아이디,D,D,C,C,D,D,C,C,D,D,D,C
509,이엔플러스,C,D,B,B,B,B,C,B,C,B,C,C
510,이연제약,B,D,B,B+,C,D,B,B,B,C,B,B+
511,이월드,C,D,C,B,C,D,C,B,C,D,C,C
512,이화산업,C,D,C,B,C,C,C,C,C,C,C,C
513,인디에프,C,D,B,B,C,D,B,B,C,D,B,C
514,인바이오젠,C,D,C,C,C,D,B,C,B,D,B,B
515,인스코비,C,D,C,B,C,B,C,C,C,B,B,C
516,인지컨트롤스,C,D,C,B,C,C,B,C,C,B,B,C
517,인천도시가스,C,D,C,B,B,C,B,B+,B,D,B,B+
518,인터지스,B,B,C,B+,B+,B,B,B+,B+,B,B+,B+
519,인팩,C,D,C,B+,C,C,C,B,C,C,B,B
520,일동제약,A,B+,A,A,A,B+,A+,B+,B+,C,A,A
521,일동홀딩스,A,B+,A,A,B+,B,A,B+,B+,C,A,B+
522,일성건설,B,B,C,B+,B,B,B,B,C,B,C,C
523,일성신약,C,D,C,B+,C,D,B,B,B,C,B,B
524,일신방직,B+,B,B,A,B,B,B,B,C,C,C,B+
525,일신석재,C,D,C,B,C,D,C,B,D,D,C,C
526,일양약품,C,D,C,B+,B,D,B,B+,B,C,B,B
527,일정실업,C,C,C,C,C,C,C,C,C,B,C,C
528,일진다이아,C,D,C,B,C,C,B,B,C,C,B,B
529,일진디스플,B,B,B,B,B,B,B,B,B,B,C,B
530,일진머티리얼즈,C,C,C,B,C,B,C,C,B,B,B,B
531,일진전기,C,C,C,B,C,C,B,C,C,B,D,B
532,일진홀딩스,C,C,C,B,B,C,B,B,C,C,D,B
533,잇츠한불,B+,B+,B,B+,B,C,B,B,B,B,B,B
535,자화전자,C,C,C,B+,B,B,B+,B,B,B,B,B
536,전방,C,C,B,B,C,C,B+,C,C,C,B,C
537,제이에스코퍼레이션,C,D,C,B+,C,D,C,B+,C,D,C,B+
538,제이준코스메틱,C,D,C,B,C,D,C,B,C,D,C,B
539,제일기획,B+,C,A,B+,B+,D,A,B+,B,D,B+,B+
540,제일약품,C,D,B,B,C,D,B,B,C,D,B,B
541,제일연마,C,C,C,B+,C,C,C,B,C,C,D,B+
542,제일파마홀딩스,B,D,B,B,B,D,B,B,B,D,B,B
543,제주은행,A,B,A+,A,B+,C,A,A,B+,C,B+,B+
544,제주항공,B+,B,B+,B+,B,C,B+,B+,B,C,B,B+
545,조광페인트,B,B,B+,B,C,C,B,B,C,C,B,B
546,조광피혁,C,D,C,B,C,D,C,B,B,B,B,B
547,조비,C,D,C,B,C,D,B,B,C,D,B,C
548,조선내화,B,B,B,B,C,B,B,C,B,B,B,B
549,조선선재,C,D,C,B+,C,D,C,B+,C,D,C,B
550,조일알미늄,B,B,C,B+,B,B,C,B,C,B,C,C
551,조흥,C,D,C,B,B,B,C,B,B,B,C,B
552,종근당,A,A,A+,B+,B,C,B+,B+,B,C,B+,B
553,종근당바이오,B+,B+,A,B+,C,B,C,C,C,B,B,C
554,종근당홀딩스,B+,B+,A,B+,C,C,B+,C,B,C,B+,B
555,주연테크,C,C,C,C,C,C,B,C,C,C,B,C
557,지엠비코리아,C,C,C,B,C,C,B,C,C,C,C,B
558,지역난방공사,A,B+,A+,A,A,B+,A+,B+,B+,B+,A,B
559,지투알,B,D,B,B+,B,D,B+,B+,B,D,B+,B+
560,진도,D,D,D,C,B,D,B,B,C,D,C,C
561,진양산업,D,D,C,C,C,D,C,B,C,D,C,B
562,진양폴리우레탄,C,D,C,B+,C,D,C,B,D,D,C,C
563,진양홀딩스,C,D,C,B,C,D,C,C,B,D,C,B+
564,진양화학,C,D,C,B,D,D,C,C,D,D,C,C
565,진에어,B+,C,A,A,B+,C,B+,A,B,C,C,B+
566,진원생명과학,C,D,C,B+,C,D,C,B,C,C,C,C
567,진흥기업,C,C,C,B+,C,C,B,B,B,B,B,B
568,참엔지니어링,B,D,B,B+,B,B,B,B,C,B,B,D
569,천일고속,B,C,C,B+,B,C,B,B+,B,C,B,B+
570,체시스,C,D,B,B,C,C,B,C,C,C,B,B
571,초록뱀헬스케어,B,D,B,B,C,D,C,B,C,D,B,C
572,카카오,A,A,A+,A,B+,C,A+,A,B,D,B+,B+
574,카프로,B,B,C,B+,B+,B+,B,B+,B,B,B,B
575,컨버즈,B,B,C,B,D,C,C,D,D,C,C,D
576,케이비아이동국실업,C,C,C,C,C,B,B,C,C,B,C,C
577,케이씨,B,B,C,B+,B+,B,B,B+,B,B,B+,B
578,케이씨씨,B+,B+,A+,B,B+,B+,A,B,B,B+,A,C
579,케이씨텍,B,B,B,B,B,B,B,B,B,B,B+,B
580,케이씨티시,B,B,C,B,B,B,B,B,B,B,B+,B
581,케이티,A+,A+,B+,A+,A+,A,A,A+,B+,A,B,B+
582,케이티스카이라이프,A,B,A,A,B+,C,B+,B+,B+,C,B+,B+
583,케이티앤지,A,A,A+,A,A,B+,A+,A,A+,B+,A+,A+
584,코리아써키트,B,B+,C,B+,C,B+,B,C,C,B,B,C
585,코리안리,B+,B,B+,A,B,D,B,B+,B,D,B,B+
586,코스맥스,A,A,A,B+,B+,B+,B+,B,B,B,B,B
587,코스맥스비티아이,B+,A,A,B+,B,B,B,B,B,C,B,B+
588,코스모신소재,B,B,C,B,B+,B+,B,B+,B+,B+,B,B+
589,코스모화학,B,B,C,B,C,B,C,D,C,B,C,C
590,코아스,B,C,C,B+,B+,B,B,B+,B,B,C,B
591,코아스,B,C,C,B+,B+,B,B,B+,B,B,C,B
592,코오롱,B,B,B+,B,B,C,B+,B,C,C,B,C
593,코오롱,B,B,B+,B,B,C,B+,B,C,C,B,C
594,코오롱글로벌,B,C,B,B+,B,C,B,B+,B,C,B,B+
595,코오롱글로벌,B,C,B,B+,B,C,B,B+,B,C,B,B+
596,코오롱인더,A,B+,A,A,B+,B+,B+,B+,B+,B+,B+,B+
597,코오롱인더,A,B+,A,A,B+,B+,B+,B+,B+,B+,B+,B+
598,코오롱플라스틱,B+,B,B+,B+,B+,B,B+,B+,B+,B+,B+,B+
599,코오롱플라스틱,B+,B,B+,B+,B+,B,B+,B+,B+,B+,B+,B+
600,코웨이,A,A,A+,B+,A,A,A+,B+,A,A+,A,B+
601,코웨이,A,A,A+,B+,A,A,A+,B+,A,A+,A,B+
602,콘텐트리중앙,C,D,B,C,B,D,B,B,C,D,B,C
603,콘텐트리중앙,C,D,B,C,B,D,B,B,C,D,B,C
604,콤텍시스템,C,D,B,C,C,D,B,C,C,D,B,C
605,콤텍시스템,C,D,B,C,C,D,B,C,C,D,B,C
606,쿠쿠홀딩스,B,D,C,B+,B,D,B,B+,C,D,C,B
607,쿠쿠홀딩스,B,D,C,B+,B,D,B,B+,C,D,C,B
610,태림포장,C,B,C,C,C,B,C,C,C,B,C,C
611,태양금속공업,B,B,C,B,B,B+,B,B,B,B+,B,B
612,태영건설,B+,A,B,B+,B+,B,B+,B+,B,C,B,B+
613,태원물산,C,C,C,B,B,B,C,B,C,C,C,B
614,태평양물산,B,C,B+,B,C,D,B+,B,C,D,B+,B
615,테이팩스,B+,B+,B+,B+,B+,B+,B+,B,C,C,B,C
616,텔코웨어,C,D,C,B,B,D,B,B,C,D,C,B
617,토니모리,C,D,C,B+,C,D,C,B+,C,D,C,B+
618,티비에이치글로벌,B,D,B+,B+,B,C,B,B+,B,C,B+,B
619,티에이치엔,B,C,B,B+,B,B,B,B,C,C,B,B
621,티웨이홀딩스,C,D,D,B,C,D,B,C,C,D,B,D
622,티케이지휴켐스,B+,B,A,B+,C,B,B+,C,B,B,B+,B
623,파미셀,B,C,B,B+,B,B,C,B,B,B,C,B
624,팜스코,B+,B+,A,B+,B,D,B+,B+,B,D,B,B+
625,팜젠사이언스,C,D,C,C,C,D,B,C,C,C,B,C
626,팬오션,B+,B+,D,A,B+,B,B,A,B,B,C,B+
627,퍼스텍,C,C,C,B,C,B,B,C,B,B,B,B
628,퍼시스,B,C,B+,B,B,B,B,B,B,B,B,B
629,페이퍼코리아,B,B,C,B,C,C,B,C,C,B,B,C
630,평화산업,B,B+,C,B+,B,B,B,B,B,B,B,B
631,평화홀딩스,B,B+,C,B+,B,C,B,B+,B,C,B,B
632,포스코스틸리온,A,A,A+,A,A,B+,A+,B+,B+,B+,A,B+
633,포스코인터내셔널,A+,A,A+,A+,A+,A,A+,A+,A+,A,A+,A+
634,포스코케미칼,A,A,A+,B+,A,A,A+,B+,B+,B,B+,B+
635,풀무원,A+,A,A+,A+,A+,A,A+,A+,A+,A,A+,A+
636,풍산,B+,B,A,A,B+,B+,A,B+,B+,B+,B+,B+
637,풍산홀딩스,B,D,A,B+,B,B,B+,B,B+,B,B+,B+
638,플레이그램,C,D,C,C,C,D,C,C,C,D,C,C
639,하나금융지주,A,A,A+,A,A,A,A,A,A,A,A,A
641,하나투어,B+,B,A,B+,B,D,B,B,B,D,B,B
643,하이스틸,B,C,B,B+,B,B,C,B,C,C,C,C
644,하이트론씨스템즈,C,D,C,B+,B,D,B,B+,C,D,C,B
645,하이트진로,B+,B+,A,B,B,B,B,B,B,B,B+,B
646,하이트진로홀딩스,B+,B+,A,B,B,C,B,B,B,C,B+,B
647,한국가스공사,B+,B+,A,B+,A,B+,A+,B+,A,B+,A+,B+
648,한국공항,B,D,B,B+,C,D,B,B,B,C,B,B
649,한국금융지주,B+,C,A,B+,B,D,B+,B+,B,D,B+,B+
650,한국내화,B,B,B,B,C,C,B,D,D,D,C,D
651,한국단자공업,C,C,C,B+,C,C,B,B,C,C,C,C
652,한국석유공업,B+,B,B+,B+,C,C,C,B,C,C,B,B
653,한국수출포장공업,B,B,C,B+,B,B,C,B,C,B+,D,C
654,한국쉘석유,B,C,B+,B+,B,C,B+,B,C,C,C,B+
655,한국앤컴퍼니,A,B+,A+,B+,B,B+,B+,B,B+,B+,A+,B
656,한국자산신탁,C,C,B+,C,C,D,B,C,C,D,C,C
657,한국전력공사,B+,B+,A,B+,A,B+,A,A,B+,B,B+,B+
658,한국전자홀딩스,B,B,B+,B,C,C,B,C,B,C,B,B
659,한국조선해양,A,A,B+,A,B+,B+,B+,A,A,A,B+,A
660,한국종합기술,B,B,C,B+,B,B,C,B,B,B,C,B+
661,한국주강,D,D,D,C,C,D,C,C,C,D,C,C
662,한국주철관공업,C,C,C,B,C,C,C,B,C,C,C,B
663,한국철강,B,B,B,B+,C,B+,B,C,B,B+,C,B+
664,한국카본,B,B,B+,B,B+,B,B,B+,B,B,B,B
665,한국콜마,B+,B+,A,B+,B+,B,B+,B+,B,B,B,B
666,한국콜마홀딩스,B+,B,B+,A,B,B,B,B,B+,B,B,B+
667,한국타이어앤테크놀로지,B+,B+,A,B,B+,A,A+,B,B+,A,A+,B
668,한국토지신탁,C,D,C,C,C,D,B,C,C,D,C,C
670,한국프랜지공업,B,B,B+,B,C,B,B+,C,C,B,B,C
671,한국항공우주,A,A,A+,B+,A,A,A+,A,A,B+,A+,A
672,한국화장품,B,D,B,B,B,D,B+,B,B,D,B,B
673,한국화장품제조,C,C,B,B,C,D,B,B,C,C,B,C
674,한농화성,C,C,B,B,C,C,C,B,B,B,C,B
675,한독,A,B+,A,A,B+,B+,B+,B,B+,B+,B+,B+
676,한라,B+,B+,A,B+,B+,B,B+,B+,B,B,B,B
677,한라홀딩스,A,B,A+,A,B+,B,B+,A,B+,B,B+,B+
678,한미글로벌,A,A,A,A,B+,B,B+,B+,B+,B,B,B+
679,한미반도체,C,D,D,B,C,D,C,B,C,D,C,B
680,한미사이언스,A,B+,A+,A,B,B,B,B,C,B,A,D
681,한미약품,A,B+,A+,A,A,B+,A+,B+,B+,B+,A+,B
682,한샘,A,B+,A+,A,B+,B+,A+,B,B+,B,B+,B+
683,한섬,A,A,A+,A,A,B+,A,A,B,D,A,B+
684,한성기업,C,D,B,B,C,D,B,C,C,D,B,C
685,한세실업,B,B,B,B+,B,C,B,B+,B,C,B,B+
686,한세엠케이,C,D,C,B+,C,C,C,B,C,C,C,B+
687,한세예스24홀딩스,B,D,B,B+,B,C,B,B,B,C,B,B
688,한솔로지스틱스,B+,B,B+,B+,B+,B,B+,A,B+,B,B+,A
689,한솔제지,A,A,A,A,A,A,A,A,A,A,A,A
690,한솔케미칼,A,A,A,A,B+,B,B+,B+,C,B,B,C
691,한솔테크닉스,A,B+,A,A,B+,B+,B+,A,B+,B,B+,A
692,한솔피엔에스,A,B+,B+,A,A,B+,B+,A,B,D,B+,B+
693,한솔홀딩스,A,B+,A,A,A,B+,A,A,B+,B,B+,A
694,한솔홈데코,A,B+,A,A,B+,B,B+,A,A,B+,B+,A
695,한신공영,C,C,C,B,C,C,B,B,C,C,C,B
696,한신기계공업,C,D,C,B+,C,B,C,C,B,B,C,B
697,한양증권,C,D,B+,C,C,D,B+,C,C,D,B+,C
698,한온시스템,B+,B+,B+,B+,B+,B,B+,B+,B+,B+,B+,B+
699,한올바이오파마,B,D,B,B+,B,D,B+,B,B,D,B+,B+
700,한익스프레스,C,B,B,C,C,B,C,C,B,B,C,B
702,한일철강,C,D,C,B,D,D,D,C,D,D,C,C
703,한일현대시멘트,B+,B+,B+,B+,B+,B,B+,B+,B,B,B,B
704,한일홀딩스,B,B+,B+,B,B,D,B+,B+,C,D,B+,B
705,한전KPS,B,B,B,B+,B+,B+,A,B+,B+,B+,B+,B+
706,한전기술,B+,B,B+,B+,B+,B+,A,B+,B+,B+,A,B+
707,한전산업,B+,B,B+,B+,B+,B,B+,B+,B,B+,B+,B
708,한진,A,A,B+,A,B,B,C,B+,B,B,B,B
709,한진중공업홀딩스,B,D,C,B+,B,D,C,B+,C,C,C,B
710,한진칼,A,A,A,A,B+,B,B,A,C,B,A,C
711,한창,B,D,B,B,C,D,B,C,D,D,C,D
712,한창제지,C,C,C,B,B,B,C,B,C,B,B,D
713,한화,A,A,A+,A,A,B+,A,A,B+,B,B+,A
714,한화생명,A,A+,A+,B+,A,A,A+,B+,B+,B+,A,B
715,한화손해보험,A,A,A+,B+,B+,B,A,B,B+,C,A,B+
716,한화솔루션,A,A,A+,B+,A,A,A,B+,B,C,A,B+
718,한화에어로스페이스,A,A,A,A,A,A,A,A,B+,B+,B+,A
719,한화투자증권,B+,B+,A,B+,B+,B,A,B+,B,D,A,B
720,해성디에스,A,A,A+,A,A,A,A,A,A,A,A,A
721,해태제과식품,B,D,B+,B+,B,D,B+,B,B,D,B+,B+
722,핸즈코퍼레이션,B,B,B,B+,B,B,B,B+,B,B,B,B+
723,현대건설,A,A,A,A,A,A+,A,A,A,A,A,B+
724,현대건설기계,A,B+,A+,A,A,B+,A,A,B+,C,B+,A
725,현대그린푸드,A,A,A+,A,A,B+,A,A,A,B,A,A
726,현대글로비스,A,A,A+,A,A,A,A+,A,A,A,A,A
727,현대두산인프라코어,A,A,A+,A,A,A,A+,A,A,A,A,B+
728,현대로템,A,A,A+,A,B+,B,A,B+,B+,B,A,B+
729,현대리바트,A,A,A+,A,A,B,A,A,A,B,A,A
730,현대모비스,A,A,A+,A,A,B+,A+,A,A,A,A+,B+
731,현대미포조선,A,A,A+,A,A,A,A+,A,B+,B,A,B
732,현대백화점,A,A,A+,A,A,B+,A,A,A,B,A+,A
733,현대비앤지스틸,A,B+,A+,B+,B+,B+,A,B+,B+,B+,A,B
734,현대약품,B,C,B,B+,B,B,B+,B,B,B,B+,B
736,현대엘리베이터,A,B+,A,A,A,B+,A,A,B+,B+,B+,B+
738,현대위아,A,A,A+,A,A,A,A+,A,B+,B,A,B+
739,현대일렉트릭,A,A,A+,A,A,A,A+,A,B+,B,A,B+
740,현대자동차,A,A,A,A,A,A,A+,A,B+,A,A,B
741,현대제철,B+,B+,B+,A,B+,B+,A,B+,B+,B+,A,B+
742,현대차증권,A,B+,A+,A,A,B,A+,A,B+,C,A,B+
743,현대코퍼레이션,B+,B+,A,B+,B,D,B,B,B,D,C,B+
744,현대코퍼레이션홀딩스,B+,C,A,B+,C,D,C,B,C,D,C,B
745,현대퓨처넷,B+,C,A,A,B+,C,A,A,B+,C,A,B+
746,현대해상,A,A,A+,A,A,B+,A,A,A,A,A+,A
747,현대홈쇼핑,A,A,A+,A,A,A,A,A,A,B,A,A
748,형지엘리트,C,D,B,B,C,D,B,C,C,D,B,C
749,혜인,B,B,B,B,C,B,C,C,C,B,B,C
750,호전실업,C,D,C,B+,C,D,C,B+,B,D,B,B+
751,호텔신라,A,B+,A+,A,A,A,A,A,A,A,A,A
752,화성산업,B,C,B+,B+,B,C,B,B+,B,D,B,B+
753,화승엔터프라이즈,B+,B,B+,A,B+,B+,B,A,B,D,B,B+
754,화승인더스트리,B+,B,B+,A,B,B,B,B+,B,B,B,B+
755,화승코퍼레이션,B+,B+,B,B+,B+,B+,B+,B+,B+,B+,B+,B+
756,화신,B+,B+,A,B+,C,D,B+,B,C,D,B,C
757,화인베스틸,B,B,C,B,B,B,C,B,B,B,C,B+
758,화천기계,C,D,C,B,C,B,B,C,C,B,C,C
759,화천기공,B,D,B,B+,C,D,C,B,C,D,B,B
760,환인제약,B,D,B,B+,B,D,B+,B+,B,C,B,B+
761,황금에스티,C,D,C,B,D,D,C,C,D,D,C,C
762,효성,A,A,A+,B+,A,A,A+,B+,C,B,B,D
763,효성 ITX,B+,C,B+,B+,B+,C,B+,B+,B,C,B+,B
768,후성,B+,A,B,B,C,B,C,C,B,B,C,B
769,휠라홀딩스,A,B+,A+,A,B+,B,B+,B+,C,D,B,C
770,휴니드테크놀러지스,B,C,B+,B+,C,C,B,B,B,C,B,B+
771,휴비스,A,B+,A+,A,B+,B+,B+,B+,B,B,B,B
772,휴스틸,C,C,C,B,C,B,B,C,B,B,C,B
773,흥국화재,B+,B,A,B,B,D,A,B,B,D,B,B
774,흥아해운,D,D,C,D,D,D,C,D,C,D,C,B
