,기업명, ESG 종합등급,환경,사회,지배구조,평가연도
0,AJ네트웍스,B,D,B,B,2019
1,AK홀딩스,B,C,B,B,2019
2,BGF,B,C,A,B,2019
3,BGF리테일,B,C,B+,B+,2019
4,BNK금융지주,A+,B+,A+,A+,2019
5,BYC,B,C,B+,B+,2019
6,CJ,A,B,A+,A,2019
7,CJ CGV,B+,B,B+,A,2019
8,CJ대한통운,B+,A,B+,B+,2019
9,CJ씨푸드,C,D,C,B+,2019
10,CJ제일제당,A,A,A+,A,2019
11,CS홀딩스,C,D,C,B,2019
12,DB,B,D,B,B,2019
13,DB금융투자,B,D,B+,B,2019
14,DB손해보험,B+,A,A,B+,2019
15,DB하이텍,B+,B+,A,B+,2019
16,DGB금융지주,B+,A,A,B+,2019
17,DL,B,B,C,B,2019
18,DL건설,B+,B,B+,B+,2019
19,DRB동일,B,B,B,B+,2019
20,DSR,C,B,B,C,2019
21,DSR제강,C,C,B,C,2019
22,E1,B,C,B+,B,2019
23,F&F,-,-,-,-,2019
24,F&F 홀딩스,C,D,C,B,2019
25,GKL,B,C,B+,B,2019
26,GS,B,D,B+,B+,2019
27,GS건설,A,B+,A,A,2019
28,GS글로벌,B,D,B+,B+,2019
29,GS리테일,B,C,A,B,2019
30,HDC,B,D,B+,B+,2019
31,HDC랩스,C,D,B,B,2019
32,HDC현대EP,B,B,B,B,2019
33,HDC현대산업개발,-,-,-,-,2019
34,HD현대,A,B+,A+,B+,2019
35,HJ중공업,C,C,C,B,2019
36,HLB글로벌,D,D,C,C,2019
37,HMM,B+,B+,B+,B+,2019
38,HSD엔진,A,B+,A+,A,2019
39,JB금융지주,A,B+,A,A,2019
40,JW생명과학,B+,B+,B+,B+,2019
41,JW중외제약,B+,B,A,B+,2019
42,JW홀딩스,B,C,B+,B,2019
43,KB금융,A+,A+,A,A+,2019
44,KC그린홀딩스,B,B,B,B,2019
45,KC코트렐,B,B,C,B,2019
46,KEC,B,B,C,B,2019
47,KG스틸,C,B,B,D,2019
48,KG케미칼,C,C,C,C,2019
49,KH 필룩스,B,B,B,B,2019
50,KISCO홀딩스,B,B,C,B,2019
51,KPX케미칼,B,B,C,B,2019
52,KPX홀딩스,C,C,C,B,2019
53,KR모터스,C,D,B,C,2019
54,KSS해운,B+,B,B+,B+,2019
55,KTcs,B,D,B+,B+,2019
56,KTis,B,D,B+,B+,2019
57,LF,B,D,B,B+,2019
58,LG,B+,B,A,B+,2019
59,LG디스플레이,B+,B+,A,B,2019
60,LG생활건강,A,A,A+,B+,2019
61,LG에너지솔루션,-,-,-,-,2019
62,LG유플러스,B+,B+,A,B+,2019
63,LG이노텍,B+,B+,A,B+,2019
64,LG전자,B+,A,A,B,2019
65,LG헬로비전,B+,C,B+,B+,2019
66,LG화학,B,D,A,B+,2019
67,LIG넥스원,B+,B+,A,B+,2019
68,LS,B+,B,A,B,2019
69,LS네트웍스,B,D,B,B,2019
70,LS전선아시아,B,D,C,B+,2019
71,LX인터내셔널,B+,C,A,B+,2019
72,LX하우시스,A,A,A,B+,2019
73,MH에탄올,B,C,B,B,2019
74,NAVER,B+,B,A,B+,2019
75,NH투자증권,B+,C,A,B+,2019
76,NICE,B,D,B,B+,2019
77,NI스틸,D,D,C,C,2019
78,OCI,A,B,A+,A,2019
79,PI첨단소재,B,B,C,B+,2019
80,POSCO홀딩스,A,B,B+,A+,2019
81,S-Oil,A,B+,A+,A+,2019
82,SBS,B,C,B,B+,2019
83,SGC에너지,C,C,C,B,2019
84,SG글로벌,D,C,C,D,2019
85,SG세계물산,C,D,B,C,2019
86,SHD,D,D,C,D,2019
87,SH에너지화학,C,C,C,B+,2019
88,SIMPAC,C,C,C,C,2019
89,SK,A,A,A,A,2019
90,SKC,A,B+,A,A,2019
91,SK가스,B+,B,B+,A,2019
92,SK네트웍스,A+,B+,A+,A+,2019
93,SK디스커버리,B+,D,B+,A,2019
94,SK디앤디,B,C,B,B+,2019
95,SK렌터카,C,B,B,C,2019
96,SK바이오사이언스,-,-,-,-,2019
97,SK스퀘어,-,-,-,-,2019
98,SK아이이테크놀로지,-,-,-,-,2019
99,SK이노베이션,A,A,A+,A,2019
100,SKC,A,B+,A,A,2019
101,SK가스,B+,B,B+,A,2019
102,SK네트웍스,A+,B+,A+,A+,2019
103,SK디스커버리,B+,D,B+,A,2019
104,SK디앤디,B,C,B,B+,2019
105,SK렌터카,C,B,B,C,2019
106,SK바이오사이언스,-,-,-,-,2019
107,SK스퀘어,-,-,-,-,2019
108,SK아이이테크놀로지,-,-,-,-,2019
109,SK이노베이션,A,A,A+,A,2019
110,STX엔진,B,B+,B,B,2019
111,STX중공업,-,-,-,-,2019
112,SUN&L,B,B,B+,B,2019
113,TCC스틸,C,C,B,C,2019
114,TYM,C,B,B+,C,2019
115,WISCOM,C,C,C,B,2019
116,YG PLUS,C,D,C,B,2019
117,가온전선,B,B,C,B+,2019
118,강남제비스코,C,C,C,B,2019
119,강원랜드,B+,B+,A,B,2019
120,갤럭시아에스엠,D,D,D,C,2019
121,경농,C,B,B+,C,2019
122,경동나비엔,B+,B,A,B,2019
123,경동도시가스,B+,B,A,B+,2019
124,경동인베스트,C,C,B+,C,2019
125,경방,C,C,B,B,2019
126,경보제약,B,B,B,B,2019
127,경인양행,B,B,C,B,2019
128,경인전자,C,D,C,B,2019
129,계룡건설산업,B+,B,B+,B+,2019
130,계양전기,B,B,B+,B,2019
131,고려산업,C,C,C,C,2019
132,고려아연,B,B,B,B,2019
133,고려제강,C,B+,B,D,2019
134,광동제약,B,C,B,B+,2019
