,기업명,기업코드,ESG등급,환경,사회,지배구조,평가년도
758,케이씨텍,281820,B,B,B,B,2021
759,케이씨티시,009070,B,B,C,B,2021
760,케이엠더블유,032500,B,C,B,B+,2021
761,케이티,030200,A+,A+,B+,A+,2021
762,케이티스카이라이프,053210,A,B,A,A,2021
763,케이티알파,036030,A,B,A,A,2021
764,케이티앤지,033780,A,A,A+,A,2021
765,코리아센터,290510,B,D,C,B+,2021
766,코리아써키트,007810,B,B+,C,B+,2021
767,코리아에셋투자증권,190650,C,D,B+,C,2021
768,코리안리,003690,B+,B,B+,A,2021
769,코미팜,041960,B,D,B,B+,2021
770,코스맥스,192820,A,A,A,B+,2021
771,코스맥스비티아이,044820,B+,A,A,B+,2021
772,코스모신소재,005070,B,B,C,B,2021
773,코스모화학,005420,B,B,C,B,2021
774,코아스,071950,B,C,C,B+,2021
775,코엔텍,029960,C,B,D,C,2021
776,코오롱,002020,B,B,B+,B,2021
777,코오롱글로벌,003070,B,C,B,B+,2021
778,코오롱머티리얼,144620,B,C,B,B+,2021
779,코오롱생명과학,102940,B,D,B+,B,2021
780,코오롱인더,120110,A,B+,A,A,2021
781,코오롱플라스틱,138490,B+,B,B+,B+,2021
782,코웨이,021240,A,A,A+,B+,2021
783,코웰패션,033290,C,C,C,B,2021
784,콜마비앤에이치,200130,B,C,B,B+,2021
785,콤텍시스템,031820,C,D,B,C,2021
786,쿠쿠홀딩스,192400,B,D,C,B+,2021
787,쿠쿠홈시스,284740,B,D,C,B+,2021
788,큐로,015590,C,D,C,B,2021
789,큐캐피탈,016600,D,D,C,D,2021
790,크라운제과,264900,B,C,B+,B+,2021
791,크라운해태홀딩스,005740,B,C,B+,B,2021
792,크리스탈지노믹스,083790,B,D,B,B+,2021
793,클래시스,214150,B,D,B,B+,2021
794,클리오,237880,B,D,B,B+,2021
795,키다리스튜디오,020120,B,D,B,B,2021
796,키움증권,039490,B,C,A,B,2021
797,태경비케이,014580,C,C,B,B,2021
798,태경산업,015890,B,C,B,B+,2021
799,태경케미컬,006890,C,D,B,B,2021
800,태광산업,003240,B+,B,A,B+,2021
801,태림포장,011280,C,B,C,C,2021
802,태양금속공업,004100,B,B,C,B,2021
803,태영건설,009410,B+,A,B,B+,2021
804,태원물산,001420,C,C,C,B,2021
805,태평양물산,007980,B,C,B+,B,2021
806,테스,095610,B,C,B+,B+,2021
807,테이팩스,055490,B+,B+,B+,B+,2021
808,텔코웨어,078000,C,D,C,B,2021
809,텔콘RF제약,200230,C,C,C,C,2021
810,토니모리,214420,C,D,C,B+,2021
811,톱텍,108230,B,D,B,B+,2021
812,티비에이치글로벌,084870,B,D,B+,B+,2021
813,티씨케이,064760,B,B,B,B+,2021
814,티에이치엔,019180,B,C,B,B+,2021
815,티웨이항공,091810,B,C,B+,B,2021
816,티웨이홀딩스,004870,C,D,D,B,2021
817,티케이케미칼,104480,C,C,B,B,2021
818,파라다이스,034230,B,D,B,B+,2021
819,파마리서치,214450,B,D,B,B+,2021
820,파미셀,005690,B,C,B,B+,2021
821,파트론,091700,B,C,B,B+,2021
822,팜스코,036580,B+,B+,A,B+,2021
823,팜젠사이언스,004720,C,D,C,C,2021
824,팬오션,028670,B+,B+,D,A,2021
825,퍼스텍,010820,C,C,C,B,2021
826,퍼시스,016800,B,C,B+,B,2021
827,펄어비스,263750,B,D,B,B,2021
828,페이퍼코리아,001020,B,B,C,B,2021
829,평화산업,090080,B,B+,C,B+,2021
830,평화홀딩스,010770,B,B+,C,B+,2021
831,포스코,005490,A,A,A,A+,2021
832,포스코 ICT,022100,A,A,A+,A,2021
833,포스코강판,058430,A,A,A+,A,2021
834,포스코엠텍,009520,B,D,B+,A,2021
835,포스코인터내셔널,047050,A+,A,A+,A+,2021
836,포스코케미칼,003670,A,A,A+,B+,2021
837,폴루스바이오팜,007630,D,B,C,D,2021
838,푸르덴셜생명보험,839185,,,,B+,2021
839,푸본현대생명보험,860086,,,,B+,2021
840,풀무원,017810,A+,A,A+,A+,2021
841,풍산,103140,B+,B,A,A,2021
842,풍산홀딩스,005810,B,D,A,B+,2021
843,피엔티,137400,B,C,C,B+,2021
844,하나금융지주,086790,A,A,A+,A,2021
845,하나금융투자,805992,,,,B+,2021
846,하나은행,004940,,,,B,2021
847,하나제약,293480,B,D,B,B+,2021
848,하나카드,856659,,,,B+,2021
849,하나캐피탈,809337,,,,B+,2021
850,하나투어,039130,B+,B,A,B+,2021
851,하림,136480,B+,B,A,B+,2021
852,하림지주,003380,B+,B+,B+,B+,2021
853,하이스틸,071090,B,C,B,B+,2021
854,하이투자증권,814270,,,,B+,2021
855,하이트론씨스템즈,019490,C,D,C,B+,2021
856,하이트진로,000080,B+,B+,A,B,2021
857,하이트진로홀딩스,000140,B+,B+,A,B,2021
858,한국가스공사,036460,B+,B+,A,B+,2021
859,한국공항,005430,B,D,B,B+,2021
860,한국금융지주,071050,B+,C,A,B+,2021
861,한국기업평가,034950,B,D,B,B+,2021
862,한국내화,010040,B,B,B,B,2021
863,한국단자공업,025540,C,C,C,B+,2021
864,한국석유공업,004090,B+,B,B+,B+,2021
865,한국수출포장공업,002200,B,B,C,B+,2021
866,한국쉘석유,002960,B,C,B+,B+,2021
867,한국스탠다드차타드은행,000110,,,,A+,2021
868,한국씨티은행,016830,,,,B+,2021
869,한국앤컴퍼니,000240,A,B+,A+,B+,2021
870,한국자산신탁,123890,C,C,B+,C,2021
871,한국전력공사,015760,B+,B+,A,B+,2021
872,한국전자홀딩스,006200,B,B,B+,B,2021
873,한국정보인증,053300,B,D,B+,B,2021
874,한국조선해양,009540,A,A,B+,A,2021
875,한국종합기술,023350,B,B,C,B+,2021
876,한국주강,025890,D,D,D,C,2021
877,한국주철관공업,000970,C,C,C,B,2021
878,한국철강,104700,B,B,B,B+,2021
879,한국카본,017960,B,B,B+,B,2021
880,한국카카오은행,800197,,,,B+,2021
881,한국캐피탈,023760,C,D,D,B,2021
882,한국콜마,161890,B+,B+,A,B+,2021
883,한국콜마홀딩스,024720,B+,B,B+,A,2021
884,한국타이어앤테크놀로지,161390,B+,B+,A,B,2021
885,한국토지신탁,034830,C,D,C,C,2021
886,한국투자증권,804504,,,,B+,2021
887,한국특강,007280,C,C,B,B,2021
888,한국프랜지공업,010100,B,B,B+,B,2021
889,한국항공우주,047810,A,A,A+,B+,2021
890,한국화장품,123690,B,D,B,B,2021
891,한국화장품제조,003350,C,C,B,B,2021
892,한농화성,011500,C,C,B,B,2021
893,한독,002390,A,B+,A,A,2021
894,한라,014790,B+,B+,A,B+,2021
895,한라홀딩스,060980,A,B,A+,A,2021
896,한미글로벌,053690,A,A,A,A,2021
897,한미반도체,042700,C,D,D,B,2021
898,한미사이언스,008930,A,B+,A+,A,2021
899,한미약품,128940,A,B+,A+,A,2021
900,한샘,009240,A,B+,A+,A,2021
901,한섬,020000,A,A,A+,A,2021
902,한성기업,003680,C,D,B,B,2021
903,한세실업,105630,B,B,B,B+,2021
904,한세엠케이,069640,C,D,C,B+,2021
905,한세예스24홀딩스,016450,B,D,B,B+,2021
906,한솔로지스틱스,009180,B+,B,B+,B+,2021
907,한솔제지,213500,A,A,A,A,2021
908,한솔케미칼,014680,A,A,A,A,2021
909,한솔테크닉스,004710,A,B+,A,A,2021
910,한솔피엔에스,010420,A,B+,B+,A,2021
911,한솔홀딩스,004150,A,B+,A,A,2021
912,한솔홈데코,025750,A,B+,A,A,2021
913,한신공영,004960,C,C,C,B,2021
914,한신기계공업,011700,C,D,C,B+,2021
915,한양증권,001750,C,D,B+,C,2021
916,한온시스템,018880,B+,B+,B+,B+,2021
917,한올바이오파마,009420,B,D,B,B+,2021
918,한익스프레스,014130,C,B,B,C,2021
919,한일시멘트,300720,B+,B+,B+,B,2021
920,한일철강,002220,C,D,C,B,2021
921,한일현대시멘트,006390,B+,B+,B+,B+,2021
922,한일홀딩스,003300,B,B+,B+,B,2021
923,한전KPS,051600,B,B,B,B+,2021
924,한전기술,052690,B+,B,B+,B+,2021
925,한전산업,130660,B+,B,B+,B+,2021
926,한진,002320,A,A,B+,A,2021
927,한진중공업,097230,B,C,B,B+,2021
928,한진중공업홀딩스,003480,B,D,C,B+,2021
929,한진칼,180640,A,A,A,A,2021
930,한창,005110,B,D,B,B,2021
931,한창제지,009460,C,C,C,B,2021
932,한화,000880,A,A,A+,A,2021
933,한화생명,088350,A,A+,A+,B+,2021
934,한화손해보험,000370,A,A,A+,B+,2021
935,한화솔루션,009830,A,A,A+,B+,2021
936,한화시스템,272210,A,B+,A,A,2021
937,한화에어로스페이스,012450,A,A,A,A,2021
938,한화투자증권,003530,B+,B+,A,B+,2021
939,해성디에스,195870,A,A,A+,A,2021
940,해태제과식품,101530,B,D,B+,B+,2021
941,핸즈코퍼레이션,143210,B,B,B,B+,2021
942,헬릭스미스,084990,B,D,B,B,2021
943,현대건설,000720,A,A,A,A,2021
944,현대건설기계,267270,A,B+,A+,A,2021
945,현대그린푸드,005440,A,A,A+,A,2021
946,현대글로비스,086280,A,A,A+,A,2021
947,현대두산인프라코어,042670,A,A,A+,A,2021
948,현대로템,064350,A,A,A+,A,2021
949,현대리바트,079430,A,A,A+,A,2021
950,현대모비스,012330,A,A,A+,A,2021
951,현대미포조선,010620,A,A,A+,A,2021
952,현대바이오,048410,C,D,B,B,2021
953,현대바이오랜드,052260,A,A,A,A,2021
954,현대백화점,069960,A,A,A+,A,2021
955,현대비앤지스틸,004560,A,B+,A+,B+,2021
956,현대약품,004310,B,C,B,B+,2021
957,현대에너지솔루션,322000,A,A,A+,B+,2021
958,현대에버다임,041440,A,B+,A+,A,2021
959,현대엘리베이터,017800,A,B+,A,A,2021
960,현대오토에버,307950,A,A,A+,A,2021
961,현대위아,011210,A,A,A+,A,2021
962,현대일렉트릭,267260,A,A,A+,A,2021
963,현대자동차,005380,A,A,A,A,2021
964,현대제철,004020,B+,B+,B+,A,2021
965,현대중공업지주,267250,A,A,A+,A,2021
966,현대차증권,001500,A,B+,A+,A,2021
967,현대카드,815419,,,,A,2021
968,현대캐피탈,836248,,,,A+,2021
969,현대커머셜,888975,,,,A,2021
970,현대코퍼레이션,011760,B+,B+,A,B+,2021
971,현대코퍼레이션홀딩스,227840,B+,C,A,B+,2021
972,현대해상,001450,A,A,A+,A,2021
973,현대홈쇼핑,057050,A,A,A+,A,2021
974,형지엘리트,093240,C,D,B,B,2021
975,혜인,003010,B,B,B,B,2021
976,호전실업,111110,C,D,C,B+,2021
977,호텔신라,008770,A,B+,A+,A,2021
978,화성산업,002460,B,C,B+,B+,2021
979,화승엔터프라이즈,241590,B+,B,B+,A,2021
980,화승인더스트리,006060,B+,B,B+,A,2021
981,화승코퍼레이션,013520,B+,B+,B,B+,2021
982,화신,010690,B+,B+,A,B+,2021
983,화인베스틸,133820,B,B,C,B,2021
984,화천기계,010660,C,D,C,B,2021
985,화천기공,000850,B,D,B,B+,2021
986,환인제약,016580,B,D,B,B+,2021
987,황금에스티,032560,C,D,C,B,2021
988,효성,004800,A,A,A+,B+,2021
989,효성 ITX,094280,B+,C,B+,B+,2021
990,효성중공업,298040,A,A,A+,A,2021
991,효성첨단소재,298050,A,A,A+,A,2021
992,효성티앤씨,298020,A,A,A+,A,2021
993,효성화학,298000,A,A,A+,A,2021
994,후성,093370,B+,A,B,B,2021
995,휠라홀딩스,081660,A,B+,A+,A,2021
996,휴니드테크놀러지스,005870,B,C,B+,B+,2021
997,휴비스,079980,A,B+,A+,A,2021
998,휴스틸,005010,C,C,C,B,2021
999,휴온스,243070,B,D,A,B+,2021
1000,휴젤,145020,B,D,B+,B+,2021
1001,휴켐스,069260,B+,B,A,B+,2021
1002,흥국생명보험,818586,,,,B,2021
1003,흥국화재,000540,B+,B,A,B,2021
1004,흥아해운,003280,D,D,C,D,2021
