,기업명, ESG 종합등급,지배구조,사회,환경,평가연도
627,동일방직,B이하,B,B이하,B이하,2018
628,동일산업,B이하,C,B이하,B+,2018
629,동일제강,B이하,B,B이하,B이하,2018
630,동화약품,B이하,B,B+,B이하,2018
631,두산,A+,A,A+,A+,2018
632,두산건설,A,B+,A+,A,2018
633,두산밥캣,B이하,A,B이하,B이하,2018
634,두산인프라코어,A+,A,A+,A+,2018
635,두산중공업,A,A,A+,A,2018
636,두올,B이하,B,B이하,B이하,2018
637,디씨엠,B이하,B,B이하,B이하,2018
638,디아이,B이하,B,B이하,B이하,2018
639,디아이씨,B이하,C,B이하,B이하,2018
640,디와이,B이하,B,B이하,B이하,2018
641,디와이파워,B이하,B,B이하,B이하,2018
642,디티알오토모티브,B이하,B,B이하,B+,2018
643,디피씨,B이하,B,B이하,B이하,2018
644,락앤락,B이하,B+,B이하,B이하,2018
645,롯데관광개발,B이하,B,B이하,B이하,2018
646,롯데손해보험,A,A,A+,B이하,2018
647,롯데쇼핑,A,B+,A+,A,2018
648,롯데정밀화학,A,B+,A+,A,2018
649,롯데지주,,B+,,,2018
650,롯데칠성음료,B+,B+,A,B+,2018
651,롯데케미칼,A,A,A+,B+,2018
652,롯데푸드,A,B+,A+,B+,2018
653,롯데하이마트,A,A,A+,B이하,2018
654,마니커,B이하,C,B이하,B이하,2018
655,만도,B+,B+,B+,B+,2018
656,만호제강,B이하,B,B이하,B이하,2018
657,메디플란트,B이하,C,B이하,B이하,2018
658,메리츠금융지주,B+,A,B이하,B이하,2018
659,메리츠종금증권,B+,A,B+,B이하,2018
660,메리츠화재,B+,A,B이하,B이하,2018
661,메타랩스,B이하,C,B이하,B이하,2018
662,명문제약,B이하,B,B+,B이하,2018
663,모나리자,B이하,C,B이하,B이하,2018
664,모나미,B이하,B,B이하,B이하,2018
665,모토닉,B이하,B,B이하,B이하,2018
666,무림P&P,B이하,B,B이하,B+,2018
667,무림페이퍼,B이하,B,B이하,B+,2018
668,무학,B이하,B,B이하,B이하,2018
669,문배철강,B이하,B,B이하,B이하,2018
670,미래산업,B이하,B,B이하,B이하,2018
671,미래아이앤지,B이하,C,B이하,B이하,2018
672,미래에셋대우,B이하,B+ 이하,B+,B이하,2018
673,미래에셋생명,B이하,B+ 이하,B+,B이하,2018
674,미원상사,B이하,B+,B이하,B이하,2018
675,미원홀딩스,B이하,B,B이하,B이하,2018
676,미원화학,B이하,C,B이하,B이하,2018
677,미창석유공업,B이하,B,B이하,B이하,2018
678,방림,B이하,B,B이하,B+,2018
679,백광산업,B이하,C,B이하,B+,2018
680,백광소재,B이하,C,B이하,B이하,2018
681,백산,B이하,C,B이하,B이하,2018
682,범양건영,B이하,C,B이하,B이하,2018
683,벽산,B이하,C,B이하,B+,2018
684,보락,B이하,B,B이하,B이하,2018
685,보령제약,B이하,C,B이하,B이하,2018
686,보해양조,B이하,B,B이하,B이하,2018
687,부광약품,B이하,B,B이하,B이하,2018
688,부국증권,B이하,B+ 이하,B이하,B이하,2018
689,부국철강,B이하,B,B이하,B이하,2018
690,부산도시가스,B이하,B,A,B이하,2018
691,부산산업,B이하,C,B이하,B이하,2018
692,부산은행,,B+ 이하,,,2018
693,부산주공,B이하,C,B이하,B이하,2018
694,비상교육,B이하,B,B이하,B이하,2018
695,빙그레,B+,B+,A,B+,2018
696,사조대림,B이하,C,B이하,B이하,2018
697,사조동아원,B이하,B,B이하,B이하,2018
698,사조산업,B이하,C,B이하,B이하,2018
699,사조씨푸드,B이하,B,B이하,B이하,2018
700,사조오양,B이하,B,B이하,B이하,2018
701,사조해표,B이하,C,B이하,B이하,2018
702,삼광글라스,B이하,C,B이하,B이하,2018
703,삼성SDI,A,B+,A,A,2018
704,삼성공조,B이하,B,B이하,B이하,2018
705,삼성물산,A+,A,A+,A+,2018
706,삼성바이오로직스,B+,B,A,B이하,2018
707,삼성생명,B+,B+ 이하,B+,A,2018
708,삼성에스디에스,B+,B+,A,B+,2018
709,삼성엔지니어링,A,A,A+,A,2018
710,삼성전기,A,A,A+,A,2018
711,삼성전자,A,B+,A,A,2018
712,삼성제약,B이하,C,B이하,B이하,2018
713,삼성중공업,B+,B,B이하,A,2018
714,삼성증권,B+,B+ 이하,A,B이하,2018
715,삼성출판사,B이하,B,B이하,B이하,2018
716,삼성카드,B이하,B+ 이하,B이하,B이하,2018
717,삼성화재해상보험,A,B+ 이하,A+,A+,2018
718,삼아알미늄,B이하,B,B이하,B이하,2018
719,삼양사,B+,B,B+,B+,2018
720,삼양식품,B이하,D,B이하,B이하,2018
721,삼양통상,B이하,C,B이하,B+,2018
722,삼양홀딩스,B이하,B,B+,B이하,2018
723,삼영무역,B이하,C,B이하,B이하,2018
724,삼영전자공업,B이하,B,B이하,B+,2018
725,삼영화학공업,B이하,B,B이하,B+,2018
726,삼원강재,B이하,B,B이하,B+,2018
727,삼익THK,B이하,B,B이하,B이하,2018
728,삼익악기,B이하,C,B이하,B이하,2018
729,삼일제약,B이하,B,B이하,B이하,2018
730,삼정펄프,B이하,C,B이하,B이하,2018
731,삼진제약,B이하,B,B+,B이하,2018
732,삼천리,B+,B+,B+,B+,2018
733,삼호,B이하,B,B이하,B이하,2018
734,삼호개발,B이하,C,B이하,B이하,2018
735,삼화왕관,B이하,B,B이하,B이하,2018
736,삼화전기,B이하,B,B이하,B이하,2018
737,삼화전자공업,B이하,C,B이하,B이하,2018
738,삼화콘덴서공업,B이하,B,B이하,B이하,2018
739,삼화페인트공업,B+,B+,B+,B+,2018
740,상신브레이크,B이하,B,B이하,B이하,2018
741,새론오토모티브,B이하,B,B이하,B+,2018
742,샘표,B이하,B,B이하,B이하,2018
743,샘표식품,B+,B,B+,B+,2018
744,서연,B이하,B,B이하,B이하,2018
745,서연이화,B+,B+,B+,B이하,2018
746,서울도시가스,B이하,B,B이하,B이하,2018
