,기업명, ESG 종합등급,환경,사회,지배구조,평가연도
755,화승코퍼레이션,B+,B+,B+,B+,2020
756,화신,C,D,B+,B,2020
757,화인베스틸,B,B,C,B,2020
758,화천기계,C,B,B,C,2020
759,화천기공,C,D,C,B,2020
760,환인제약,B,D,B+,B+,2020
761,황금에스티,D,D,C,C,2020
762,효성,A,A,A+,B+,2020
763,효성 ITX,B+,C,B+,B+,2020
764,효성중공업,A,A,A+,A,2020
765,효성첨단소재,A+,A+,A+,A,2020
766,효성티앤씨,A+,A+,A+,A,2020
767,효성화학,A+,A+,A+,A,2020
768,후성,C,B,C,C,2020
769,휠라홀딩스,B+,B,B+,B+,2020
770,휴니드테크놀러지스,C,C,B,B,2020
771,휴비스,B+,B+,B+,B+,2020
772,휴스틸,C,B,B,C,2020
773,흥국화재,B,D,A,B,2020
774,흥아해운,D,D,C,D,2020
